Title	Venue	Year	Authors
Identifying and locating interference issues in PHP applications: the case of WordPress.	ICPC	2014	["Laleh Mousavi Eshkevari", "Giuliano Antoniol", "James R. Cordy", "Massimiliano Di Penta"]
Prioritizing maintainability defects based on refactoring recommendations.	ICPC	2014	["Daniela Steidl", "Sebastian Eder"]
How the evolution of emerging collaborations relates to code changes: an empirical study.	ICPC	2014	["Sebastiano Panichella", "Gerardo Canfora", "Massimiliano Di Penta", "Rocco Oliveto"]
On the effect of code regularity on comprehension.	ICPC	2014	["Ahmad Jbara", "Dror G. Feitelson"]
Capturing software traceability links from developers' eye gazes.	ICPC	2014	["Braden Walters", "Timothy Shaffer", "Bonita Sharif", "Huzefa H. Kagdi"]
Comprehension support during knowledge transitions: learning from field.	ICPC	2014	["Vikrant S. Kaulgud", "K. M. Annervaz", "Janardan Misra", "Gary Titus"]
A visualization tool recording historical data of program comprehension tasks.	ICPC	2014	["Katsuhisa Maruyama", "Takayuki Omori", "Shinpei Hayashi"]
An empirical comparison of static and dynamic type systems on API usage in the presence of an IDE: Java vs. groovy with eclipse.	ICPC	2014	["Pujan Petersen", "Stefan Hanenberg", "Romain Robbes"]
What is the foundation of evidence of human factors decisions in language design? an empirical study on programming language workshops.	ICPC	2014	["Andreas Stefik", "Stefan Hanenberg", "Mark McKenney", "Anneliese Amschler Andrews", "Srinivas Kalyan Yellanki", "Susanna Siebert"]
Domain matters: bringing further evidence of the relationships among anti-patterns, application domains, and quality-related metrics in Java mobile apps.	ICPC	2014	["Mario Linares V\u00e1squez", "Sam Klock", "Collin McMillan", "Aminata Sabane", "Denys Poshyvanyk", "Yann-Ga\u00ebl Gu\u00e9h\u00e9neuc"]
SCQAM: a scalable structured code quality assessment method for industrial software.	ICPC	2014	["Shrinath Gupta", "Himanshu Kumar Singh", "Radhika D. Venkatasubramanyam", "Umesh Uppili"]
Repeatedly-executed-method viewer for efficient visualization of execution paths and states in Java.	ICPC	2014	["Toshinori Matsumura", "Takashi Ishio", "Yu Kashima", "Katsuro Inoue"]
A formal evaluation of DepDegree based on weyuker's properties.	ICPC	2014	["Dirk Beyer", "Peter H\u00e4ring"]
Hey! are you committing tangled changes?	ICPC	2014	["Hiroyuki Kirinuki", "Yoshiki Higo", "Keisuke Hotta", "Shinji Kusumoto"]
A semiautomated method for classifying program analysis rules into a quality model.	ICPC	2014	["Shrinath Gupta", "Himanshu Kumar Singh"]
An approach for evaluating and suggesting method names using n-gram models.	ICPC	2014	["Takayuki Suzuki", "Kazunori Sakamoto", "Fuyuki Ishikawa", "Shinichi Honiden"]
Cross-language bug localization.	ICPC	2014	["Xin Xia", "David Lo", "Xingen Wang", "Chenyi Zhang", "Xinyu Wang"]
Automatic documentation generation via source code summarization of method context.	ICPC	2014	["Paul W. McBurney", "Collin McMillan"]
Improving topic model source code summarization.	ICPC	2014	["Paul W. McBurney", "Cheng Liu", "Collin McMillan", "Tim Weninger"]
A code obfuscation framework using code clones.	ICPC	2014	["Aniket Kulkarni", "Ravindra Metta"]
JCSD: visual support for understanding code control structure.	ICPC	2014	["Ahmad Jbara", "Dror G. Feitelson"]
Plagiarism detection for multithreaded software based on thread-aware software birthmarks.	ICPC	2014	["Zhenzhou Tian", "Qinghua Zheng", "Ting Liu", "Ming Fan", "Xiaodong Zhang", "Zijiang Yang"]
Redacting sensitive information in software artifacts.	ICPC	2014	["Mark Grechanik", "Collin McMillan", "Tathagata Dasgupta", "Denys Poshyvanyk", "Malcom Gethers"]
22nd International Conference on Program Comprehension, ICPC 2014, Hyderabad, India, June 2-3, 2014.		2014	["Chanchal K. Roy", "Andrew Begel", "Leon Moonen"]
Improving program comprehension by answering questions (keynote).	ICPC	2013	["Brad A. Myers"]
Part-of-speech tagging of program identifiers for improved text-based software engineering tools.	ICPC	2013	["Samir Gupta", "Sana Malik", "Lori L. Pollock", "K. Vijay-Shanker"]
Evaluating source code summarization techniques: Replication and expansion.	ICPC	2013	["Brian P. Eddy", "Jeffrey A. Robinson", "Nicholas A. Kraft", "Jeffrey C. Carver"]
Automatic generation of natural language summaries for Java classes.	ICPC	2013	["Laura Moreno", "Jairo Aponte", "Giriprasad Sridhara", "Andrian Marcus", "Lori L. Pollock", "K. Vijay-Shanker"]
An empirical study on the efficiency of graphical vs. textual representations in requirements comprehension.	ICPC	2013	["Zohreh Sharafi", "Alessandro Marchetto", "Angelo Susi", "Giuliano Antoniol", "Yann-Ga\u00ebl Gu\u00e9h\u00e9neuc"]
SArF map: Visualizing software architecture from feature and layer viewpoints.	ICPC	2013	["Kenichi Kobayashi", "Manabu Kamimura", "Keisuke Yano", "Koki Kato", "Akihiko Matsuo"]
Multiscale visual comparison of execution traces.	ICPC	2013	["Jonas Tr\u00fcmper", "J\u00fcrgen D\u00f6llner", "Alexandru Telea"]
In situ understanding of performance bottlenecks through visually augmented code.	ICPC	2013	["Fabian Beck", "Oliver Moseler", "Stephan Diehl", "G\u00fcnter Daniel Rey"]
Monitoring user interactions for supporting failure reproduction.	ICPC	2013	["Tobias Roehm", "Nigar Gurbanova", "Bernd Bruegge", "Christophe Joubert", "Walid Maalej"]
Quality analysis of source code comments.	ICPC	2013	["Daniela Steidl", "Benjamin Hummel", "Elmar J\u00fcrgens"]
Gapped code clone detection with lightweight source code analysis.	ICPC	2013	["Hiroaki Murakami", "Keisuke Hotta", "Yoshiki Higo", "Hiroshi Igaki", "Shinji Kusumoto"]
Insight into a method co-change pattern to identify highly coupled methods: An empirical study.	ICPC	2013	["Manishankar Mondal", "Chanchal K. Roy", "Kevin A. Schneider"]
Patterns of cross-language linking in java frameworks.	ICPC	2013	["Philip Mayer", "Andreas Schroeder"]
Using code ownership to improve IR-based Traceability Link Recovery.	ICPC	2013	["Diana Diaz", "Gabriele Bavota", "Andrian Marcus", "Rocco Oliveto", "Silvia Takahashi", "Andrea De Lucia"]
Structural information based term weighting in text retrieval for feature location.	ICPC	2013	["Blake Bassett", "Nicholas A. Kraft"]
Extracting problematic API features from forum discussions.	ICPC	2013	["Yingying Zhang", "Daqing Hou"]
Multi-dimensional exploration of API usage.	ICPC	2013	["Coen De Roover", "Ralf L\u00e4mmel", "Ekaterina Pek"]
Evaluating software clustering algorithms in the context of program comprehension.	ICPC	2013	["Anas Mahmoud", "Nan Niu"]
On the accuracy of Architecture Compliance Checking support Accuracy of dependency analysis and violation reporting.	ICPC	2013	["Leo Pruijt", "Christian K\u00f6ppe", "Sjaak Brinkkemper"]
Building extensions for applications: Towards the understanding of extension possibilities.	ICPC	2013	["Mohamed Aly", "Anis Charfi", "Mira Mezini"]
On the understanding of programs with continuous code reviews.	ICPC	2013	["Mario Bernhart", "Thomas Grechenig"]
Applying clone change notification system into an industrial development process.	ICPC	2013	["Yuki Yamanaka", "Eunjong Choi", "Norihiro Yoshida", "Katsuro Inoue", "Tateki Sano"]
Manhattan: Supporting real-time visual team activity awareness.	ICPC	2013	["Michele Lanza", "Marco D'Ambros", "Alberto Bacchelli", "Lile Hattori", "Francesco Rigotti"]
Blogging developer knowledge: Motivations, challenges, and future directions.	ICPC	2013	["Chris Parnin", "Christoph Treude", "Margaret-Anne D. Storey"]
Towards generating human-oriented summaries of unit test cases.	ICPC	2013	["Manabu Kamimura", "Gail C. Murphy"]
Towards a unified software attack model to assess software protections.	ICPC	2013	["Cataldo Basile", "Mariano Ceccato"]
Improving the detection accuracy of evolutionary coupling.	ICPC	2013	["Manishankar Mondal", "Chanchal K. Roy", "Kevin A. Schneider"]
Agec: An execution-semantic clone detection tool.	ICPC	2013	["Toshihiro Kamiya"]
JSummarizer: An automatic generator of natural language summaries for Java classes.	ICPC	2013	["Laura Moreno", "Andrian Marcus", "Lori L. Pollock", "K. Vijay-Shanker"]
OnionUML: An Eclipse plug-in for visualizing UML class diagrams in onion graph notation.	ICPC	2013	["Michael Falcone", "Bonita Sharif"]
SimCad: An extensible and faster clone detection tool for large scale software systems.	ICPC	2013	["Md. Sharif Uddin", "Chanchal K. Roy", "Kevin A. Schneider"]
IEEE 21st International Conference on Program Comprehension, ICPC 2013, San Francisco, CA, USA, 20-21 May, 2013.		2013	[]
Agile software assessment (Invited paper).	ICPC	2012	["Oscar Nierstrasz", "Mircea Lungu"]
Studying developers for fun and profit: (Keynote abstract).	ICPC	2012	["Robert DeLine"]
A retrospective view on: The role of concepts in program comprehension: (MIP award).	ICPC	2012	["Vaclav Rajlich", "Norman Wilde"]
Program complexity metrics and programmer opinions.	ICPC	2012	["Bernhard Katzmarski", "Rainer Koschke"]
Women and men - Different but equal: On the impact of identifier style on source code reading.	ICPC	2012	["Zohreh Sharafi", "Z\u00e9phyrin Soh", "Yann-Ga\u00ebl Gu\u00e9h\u00e9neuc", "Giuliano Antoniol"]
A lightweight visualization of interprocedural data-flow paths for source code reading.	ICPC	2012	["Takashi Ishio", "Shogo Etsuda", "Katsuro Inoue"]
Is the derivation of a model easier to understand than the model itself?	ICPC	2012	["Janet Feigenspan", "Don S. Batory", "Taylor L. Rich\u00e9"]
Evaluating forum discussions to inform the design of an API critic.	ICPC	2012	["Chandan Raj Rupakheti", "Daqing Hou"]
Mining source code descriptions from developer communications.	ICPC	2012	["Sebastiano Panichella", "Jairo Aponte", "Massimiliano Di Penta", "Andrian Marcus", "Gerardo Canfora"]
Measuring programming experience.	ICPC	2012	["Janet Feigenspan", "Christian K\u00e4stner", "J\u00f6rg Liebig", "Sven Apel", "Stefan Hanenberg"]
High-MCC functions in the Linux kernel.	ICPC	2012	["Ahmad Jbara", "Adam Matan", "Dror G. Feitelson"]
Understanding registration-based abstractions: A quantitative user study.	ICPC	2012	["John-Jose Nunez", "Gregor Kiczales"]
Concern-based cohesion: Unveiling a hidden dimension of cohesion measurement.	ICPC	2012	["Bruno Carreiro da Silva", "Cl\u00e1udio Sant'Anna", "Christina Chavez", "Alessandro Garcia"]
Understanding reuse in the Android Market.	ICPC	2012	["Israel J. Mojica Ruiz", "Meiyappan Nagappan", "Bram Adams", "Ahmed E. Hassan"]
Programmer information needs after memory failure.	ICPC	2012	["Chris Parnin", "Spencer Rugaber"]
Identifying computational phases from inter-process communication traces of HPC applications.	ICPC	2012	["Luay Alawneh", "Abdelwahab Hamou-Lhadj"]
Tracking and visualizing information flow in component-based systems.	ICPC	2012	["Amir Reza Yazdanshenas", "Leon Moonen"]
Do static type systems improve the maintainability of software systems? An empirical study.	ICPC	2012	["Sebastian Kleinschmager", "Stefan Hanenberg", "Romain Robbes", "\u00c9ric Tanter", "Andreas Stefik"]
Professional status and expertise for UML class diagram comprehension: An empirical study.	ICPC	2012	["Z\u00e9phyrin Soh", "Zohreh Sharafi", "Bertrand Van den Plas", "Gerardo Cepeda Porras", "Yann-Ga\u00ebl Gu\u00e9h\u00e9neuc", "Giuliano Antoniol"]
Modeling the ownership of source code topics.	ICPC	2012	["Christopher S. Corley", "Elizabeth A. Kammer", "Nicholas A. Kraft"]
A semantic relatedness approach for traceability link recovery.	ICPC	2012	["Anas Mahmoud", "Nan Niu", "Songhua Xu"]
Using IR methods for labeling source code artifacts: Is it worthwhile?	ICPC	2012	["Andrea De Lucia", "Massimiliano Di Penta", "Rocco Oliveto", "Annibale Panichella", "Sebastiano Panichella"]
A TraceLab-based solution for creating, conducting, and sharing feature location experiments.	ICPC	2012	["Bogdan Dit", "Evan Moritz", "Denys Poshyvanyk"]
Can clone detection support test comprehension?	ICPC	2012	["Benedikt Hauptmann", "Maximilian Junker", "Sebastian Eder", "Elmar J\u00fcrgens", "Rudolf Vaas"]
A controlled experiment on software clones.	ICPC	2012	["Jan Harder", "Rebecca Tiarks"]
