id,name,page_no,stargazers_count,forks_count,open_issues_count,has_wiki,subscribers_count,github_contributions_count
191,yargs,6,1187,81,32,1,28,68
192,rewire,6,1180,45,8,0,23,13
193,yard,6,1034,193,68,1,32,76
194,morgan,6,986,87,2,0,39,9
195,express-session,6,934,212,33,0,71,39
196,grunt-shell,6,848,101,1,0,24,13
197,mkdirp,6,799,77,34,1,34,8
198,highline,6,699,82,12,1,24,41
199,rack-test,6,651,167,65,0,16,30
200,gulp-sass,6,641,174,27,1,34,34
201,grunt-contrib-copy,6,589,158,47,1,24,25
202,yeoman-generator,6,576,188,37,0,55,95
203,gulp-livereload,6,517,42,15,1,14,8
204,multi_json,6,491,95,1,1,21,41
205,gulp-load-plugins,6,479,35,6,1,18,15
206,gulp-sourcemaps,6,470,53,30,1,13,12
207,phantomjs,6,453,261,24,1,105,43
208,net-ssh,6,426,200,61,0,35,89
209,ejs,6,407,63,33,1,15,83
210,gulp-changed,6,397,26,6,0,14,10
211,compression,7,397,34,9,0,29,5
212,gulp-watch,7,393,48,13,1,18,27
213,gulp-concat,7,393,48,13,1,18,27
214,gulp-if,7,332,12,7,1,8,6
215,object-assign,7,325,17,0,0,17,7
216,rdoc,7,305,233,56,1,18,44
217,sqlite3,7,268,101,33,0,16,35
218,gulp-mocha,7,232,48,21,0,17,25
219,builder,7,216,69,8,1,12,13
220,coffee-script,7,159,30,0,0,7,6
221,daemons,7,156,15,8,1,8,8
222,gulp-size,7,154,13,0,0,7,6
223,angular-sanitize,7,7343,1939,742,1,1014,184
224,actionview,7,,,,,,
225,eslint-config-airbnb,7,27640,5120,78,1,1636,167
226,jekyll,7,27640,5120,78,1,1636,167
227,bootstrap-sass,7,10017,2386,6,0,601,97
228,autoprefixer,7,8286,425,2,1,262,96
229,typescript,7,8214,978,891,1,722,77
230,sinatra,7,7488,1194,49,0,373,239
231,cheerio,7,7049,585,88,1,252,73
232,compass,7,7049,585,88,1,252,73
233,nodemon,7,6422,478,120,1,168,75
234,guzzlehttp/guzzle,7,6094,945,22,0,326,218
235,rubocop,7,5548,678,121,1,166,202
236,omniauth,7,5523,719,91,1,133,137
