Title	Venue	Year	Authors
Automatic Design Pattern Detection.	IWPC	2003	["Dirk Heuzeroth", "Thomas Holl", "Gustav H\u00f6gstr\u00f6m", "Welf L\u00f6we"]
Comprehension of Software Analysis Data Using 3D Visualization.	IWPC	2003	["Andrian Marcus", "Louis Feng", "Jonathan I. Maletic"]
Identifying Comprehension Bottlenecks Using Program Slicing and Cognitive Complexity Metric.	IWPC	2003	["Juergen Rilling", "Tuomas Klemola"]
Facilitating Program Comprehension by Mining Association Rules from Source Code.	IWPC	2003	["Christos Tjortjis", "Loukas Sinos", "Paul J. Layzell"]
An XML-Based Lightweight C++ Fact Extractor.	IWPC	2003	["Michael L. Collard", "Huzefa H. Kagdi", "Jonathan I. Maletic"]
Generalized Selective XML Markup of Source Code Using Agile Parsing.	IWPC	2003	["James R. Cordy"]
Syntactic Approximation Using Iterative Lexical Analysis.	IWPC	2003	["Anthony Cox", "Charles L. A. Clarke"]
Blooms? Taxonomy: A Framework for Assessing Programmers? Knowledge of Software Systems.	IWPC	2003	["Jim Buckley", "Christopher Exton"]
Individual Differences in Program Comprehension Strategies in Unfamiliar Programming Systems.	IWPC	2003	["Andrew Jensen Ko", "Bob Uttl"]
Observing and Measuring Cognitive Support: Steps Toward Systematic Tool Evaluation and Engineering.	IWPC	2003	["Andrew Walenstein"]
Comprehending Reality - Practical Barriers to Industrial Adoption of Software Maintenance Automation.	IWPC	2003	["James R. Cordy"]
Using Clustering to Support the Migration from Static to Dynamic Web Pages.	IWPC	2003	["Filippo Ricca", "Paolo Tonella"]
Software Components Capture Using Graph Clustering.	IWPC	2003	["Yves Chiricota", "Fabien Jourdan", "Guy Melan\u00e7on"]
An Optimal Algorithm for MoJo Distance.	IWPC	2003	["Zhihua Wen", "Vassilios Tzerpos"]
Scaling an Object-Oriented System Execution Visualizer through Sampling.	IWPC	2003	["Andrew Chan", "Reid Holmes", "Gail C. Murphy", "Annie T. T. Ying"]
Using Run-Time Data for Program Comprehension.	IWPC	2003	["Thomas Gschwind", "Johann Oberleitner", "Martin Pinzger"]
Are Decomposition Slices Clones?.	IWPC	2003	["Keith Gallagher", "Lucas Layman"]
Verification of Recovered Software Architectures.	IWPC	2003	["Gerald C. Gannod", "Shilpa Murthy"]
Enhancing Domain-Specific Software Architecture Recovery.	IWPC	2003	["Igor Ivkovic", "Michael W. Godfrey"]
Handling Large Search Space in Pattern-Based Reverse Engineering.	IWPC	2003	["J\u00f6rg Niere", "J\u00f6rg P. Wadsack", "Lothar Wendehals"]
Workshop on Graphical Documentation for Programmers: Assessing the Efficacy of UML Diagrams for Program Understanding.	IWPC	2003	["Shihong Huang", "Scott R. Tilley"]
