package_id,code_count,word_count
210,8,1068
211,4,218
212,7,888
213,0,455
214,0,143
215,0,44
216,0,1
217,0,1
218,1,28
219,0,47
220,0,1
221,10,2863
222,0,1
223,5,1038
224,5,974
225,0,1
226,4,260
227,0,756
228,0,245
229,0,66
230,0,1
231,0,1
232,0,1
233,3,569
234,0,1
235,4,529
236,0,183
237,0,380
239,0,1
240,1,396
241,0,43
242,0,1
243,0,126
244,0,34
245,0,110
246,0,43
247,0,31
248,0,1
249,0,1
250,0,9
251,0,776
252,0,135
253,0,1
254,1,403
255,0,10
256,0,9
257,2,118
258,0,1
259,0,219
260,0,139
261,1,633
262,1,2569
263,0,7
264,14,1062
265,0,1
266,0,265
267,0,44
268,0,1
270,0,1
271,0,1
272,7,711
273,0,34
274,0,1
275,14,461
276,0,2524
277,0,357
278,0,117
279,0,23
280,8,847
281,0,43
282,0,1
283,0,1
284,0,5
285,13,1098
286,0,20
287,0,1
288,6,240
289,5,247
290,0,1
291,2,231
292,0,99
294,0,104
295,0,1
296,0,1
297,30,3619
298,0,1
299,2,604
300,1,181
301,0,1
302,0,115
303,5,353
304,8,757
305,0,110
306,10,485
307,0,84
308,2,311
309,5,173
310,22,4534
311,1,277
312,0,38
313,0,84
314,1,38
315,1,130
316,0,622
317,0,187
318,0,185
319,0,76
320,0,590
321,0,590
322,0,338
323,14,1207
324,0,54
325,0,113
326,0,244
327,0,89
328,0,69
329,0,466
330,0,287
331,3,204
332,0,105
333,4,213
334,0,102
335,0,219
336,12,502
337,0,1
338,0,150
339,0,5
340,0,1
341,0,48
342,0,84
343,0,1
344,0,1
345,3,323
346,0,1
347,0,153
348,0,0
349,0,315
350,0,8
351,0,106
352,0,1
353,4,492
354,0,1
355,0,1
356,0,29
357,0,57
358,2,109
359,0,1
360,0,317
361,0,40
362,2,210
363,0,20
364,0,20
365,0,1
366,0,16
367,0,720
369,0,210
370,0,49
371,0,296
372,3,377
373,0,613
374,7,719
375,0,701
376,0,9
377,0,58
378,0,78
379,0,106
380,0,130
381,0,14
382,0,19
383,0,25
384,0,7
385,0,59
387,0,37
388,0,28
389,0,1369
390,0,1
391,0,1
392,0,1
393,1,129
394,12,853
395,0,27
396,0,210
397,6,781
398,0,1
399,0,507
400,6,1133
401,0,25
402,0,1
403,0,68
404,0,8
405,0,1
406,0,1
407,3,58
408,2,250
409,3,286
410,0,81
411,19,3298
412,4,350
413,7,401
414,0,64
415,0,1
416,0,28
417,2,171
418,0,1
419,1,32
421,0,31
422,7,563
423,0,10
424,0,134
425,0,108
426,0,61
427,0,1
428,0,1
429,0,1
430,6,451
431,0,1
432,3,101
433,2,145
434,0,106
435,2,468
436,0,151
437,0,34
439,1,252
440,0,176
441,0,29
442,0,1
443,20,1302
444,1,107
445,6,242
446,5,382
447,1,46
448,0,63
449,0,24
450,7,353
451,0,308
452,0,228
453,5,301
454,11,675
455,1,310
456,0,1
457,0,141
458,0,809
459,2,297
460,1,326
463,0,59
464,0,152
465,0,36
466,0,150
467,0,146
468,0,144
469,0,1
470,9,499
471,0,72
472,0,56
473,0,7
474,0,431
475,0,125
476,0,146
477,0,60
478,12,1613
479,0,17
480,0,70
481,0,53
482,0,222
483,0,1
484,0,741
485,0,1
486,0,22
487,0,15
488,0,1
489,0,36
490,0,392
491,1,382
492,1,140
493,0,1
494,0,1
495,0,1057
496,0,1544
497,1,66
498,0,202
499,0,1
500,0,1
502,0,142
503,0,6
504,0,1
505,0,79
506,0,79
507,1,167
508,0,1
509,8,399
510,0,66
511,0,19
512,0,1
513,0,1
514,0,1
515,0,1
516,0,1
517,0,1
518,6,455
519,0,1
520,0,1
521,0,46
522,0,49
523,0,1
524,1,61
525,0,28
526,4,203
527,0,504
528,0,293
529,0,281
530,0,351
531,0,266
532,0,266
533,0,266
534,0,266
535,0,266
536,0,266
537,0,266
538,0,266
539,0,266
540,0,266
541,0,237
542,0,8
543,0,14
544,0,15
545,4,72
546,0,9
547,0,9
548,0,8
549,0,897
550,0,60
551,0,95
552,15,1049
554,2,1109
555,0,71
556,0,1
557,0,61
558,0,1
559,0,1297
560,0,275
561,0,1
562,0,40
563,0,69
564,1,260
565,0,129
566,0,18
567,26,463
568,1,522
569,0,962
570,0,240
571,0,149
572,0,34
573,0,1
574,0,139
575,6,393
576,0,465
577,1,110
578,0,1
579,0,13
580,0,135
581,0,135
582,0,135
583,1,179
584,1,179
585,1,202
586,37,1972
587,6,346
588,5,244
589,2,184
590,0,1
591,0,1
592,3,405
593,0,435
594,1,77
595,15,891
596,0,1
597,1,195
