Title	Venue	Year	Authors
Software Plagiarism Detection with Birthmarks Based on Dynamic Key Instruction Sequences.	IEEE Trans. Software Eng.	2015	["Zhenzhou Tian", "Qinghua Zheng", "Ting Liu", "Ming Fan", "Eryue Zhuang", "Zijiang Yang"]
The ManyBugs and IntroClass Benchmarks for Automated Repair of C Programs.	IEEE Trans. Software Eng.	2015	["Claire Le Goues", "Neal Holtschulte", "Edward K. Smith", "Yuriy Brun", "Premkumar T. Devanbu", "Stephanie Forrest", "Westley Weimer"]
Signing Off: The State of the Journal.	IEEE Trans. Software Eng.	2014	["Bashar Nuseibeh"]
How Effectively Does Metamorphic Testing Alleviate the Oracle Problem?	IEEE Trans. Software Eng.	2014	["Huai Liu", "Fei-Ching Kuo", "Dave Towey", "Tsong Yueh Chen"]
Overcoming the Equivalent Mutant Problem: A Systematic Literature Review and a Comparative Experiment of Second Order Mutation.	IEEE Trans. Software Eng.	2014	["Lech Madeyski", "Wojciech Orzeszyna", "Richard Torkar", "Mariusz Jozala"]
Reducing Masking Effects in CombinatorialInteraction Testing: A Feedback DrivenAdaptive Approach.	IEEE Trans. Software Eng.	2014	["Cemal Yilmaz", "Emine Dumlu", "Myra B. Cohen", "Adam A. Porter"]
Variability Mining: Consistent Semi-automatic Detection of Product-Line Features.	IEEE Trans. Software Eng.	2014	["Christian K\u00e4stner", "Alexander Dreiling", "Klaus Ostermann"]
Improved Evolutionary Algorithm Design for the Project Scheduling Problem Based on Runtime Analysis.	IEEE Trans. Software Eng.	2014	["Leandro L. Minku", "Dirk Sudholt", "Xin Yao"]
Detecting Memory Leaks Statically with Full-Sparse Value-Flow Analysis.	IEEE Trans. Software Eng.	2014	["Yulei Sui", "Ding Ye", "Jingling Xue"]
GossipKit: A Unified ComponentFramework for Gossip.	IEEE Trans. Software Eng.	2014	["Fran\u00e7ois Ta\u00efani", "Shen Lin", "Gordon S. Blair"]
Learning Assumptions for CompositionalVerification of Timed Systems.	IEEE Trans. Software Eng.	2014	["Shang-Wei Lin", "\u00c9tienne Andr\u00e9", "Yang Liu", "Jun Sun", "Jin Song Dong"]
Modeling Human-in-the-Loop Security Analysis and Decision-Making Processes.	IEEE Trans. Software Eng.	2014	["Michael A. Schumann", "Doron Drusinsky", "James Bret Michael", "Duminda Wijesekera"]
Multi-Objective Quality-Driven Service Selection - A Fully Polynomial Time Approximation Scheme.	IEEE Trans. Software Eng.	2014	["Immanuel Trummer", "Boi Faltings", "Walter Binder"]
Quality-Aware Service Selection for Service-Based Systems Based on Iterative Multi-Attribute Combinatorial Auction.	IEEE Trans. Software Eng.	2014	["Qiang He", "Jun Yan", "Hai Jin", "Yun Yang"]
